output:tensor([[-0.4181]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.1069]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.7773]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.2990]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.5202]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.6061]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.5504]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.3953]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[1.1615]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.9151]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.6384]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.3803]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.1830]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[0.0487]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0674]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1914]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2573]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3417]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4106]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4647]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4891]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5143]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5522]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5773]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5940]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5684]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5787]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5623]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5590]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5054]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4673]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4044]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3564]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3289]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3142]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2997]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2999]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2919]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2951]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3255]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3245]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3483]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4228]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3697]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3708]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3840]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3989]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3949]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4360]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4267]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4217]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3966]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3898]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3956]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4286]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4218]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3591]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4132]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4075]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3569]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3914]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3973]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3916]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3580]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3695]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3653]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4397]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3801]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3776]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4206]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4281]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4313]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4382]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4299]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4186]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4630]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4574]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4139]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5312]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5394]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4833]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5172]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5548]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5761]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5348]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5605]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5181]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6107]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6049]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6941]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5620]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6233]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6953]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6682]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.6916]], device='cuda:0', grad_fn=<AddmmBackward0>)
