output:tensor([[-0.2815]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3891]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4270]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4568]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4808]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5005]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5095]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5264]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5158]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5195]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4972]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4914]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4628]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4726]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4394]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4250]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4121]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3891]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3720]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3498]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3397]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3151]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2982]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2891]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2764]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2597]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2372]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2317]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2071]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2102]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1850]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1758]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1678]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1681]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1572]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1584]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1509]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1320]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1344]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1292]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1342]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1183]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1004]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1004]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0886]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0811]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0642]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0577]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0700]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0502]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0354]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0279]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0099]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.0080]], device='cuda:0', grad_fn=<AddmmBackward0>)
